jawaban_mahasiswa,jawaban_dosen,human_rater,human_rater_scaled
hibernate penyimpanan data hard disk data hilang keadaan hibernate komputer dimatikan untuk hibernate untuk menghemat energi komputer dipakai untuk waktu keuntungannya komputer dinyalakan langsung masuk layar windows mengalami proses booting komputer berada keadaan warm boot,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate kondisi dimana pc digunakan aplikasi tetap berjalan hibernate data disimpan aliran listrik pc dihentikan data langsung terhapus sistem,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate keadaan state komputer dimana data data program diaplikasikan disimpan harddisk disk drive komputer menggunakan energi power rendah keadaan hibernate keadaan hibernate komputer siap untuk shutdown dimatikan proses penyimpanan data,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
proses hibernate pc termasuk cara untuk shutdown proses hibernate data pc menyala ram disimpan storage rom komputer posisi hibernate power benar benar kondisi off perlu men transfer daya ram pc dihidupkan proses hibernate os me load data rom ram,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
dimaksud hibernate komputer proses boot komputer dimana data files simpan secara temporarily hard drive hard disk hard disk power daya komputer dihilangkan dimatikan dicabut user mendapatkan file file nya kembali power dinyalakan berbeda sleep dimana file disimpan ram komputer diatur tingkat daya rendah,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate proses untuk membuat pc keadaan shut down kembali dihidupkan melanjutkan sesi dikerjakan pc keadaannya mirip sleep untuk rentang waktu mengeluarkan energi kondisi sleep untuk kondisi low powered kondisi hibernate menutup aplikasi apapun kerjakan,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,90,0.9
dimaksud hibernate pc kondisi dimana file file program berjalan komputer menyala dimatikan file program disimpan hard disk ram komputer berada keadaan mati total keadaan low power state,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate proses mematikan komputer power supply keadaan mati data data kerjakan otomatis tersimpan beda halnya sleep sleep data data berjalan secara otomatis tersimpan power supply digunakan keadaan hidup,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate pc artinya melakukan penyimpanan kerja memori memori virtual hard disk hibernate komputer berada keadaan shutdown mati komputer dihidupkan kembali data data dikirimkan kembali memori ram untuk diproses kembali,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate pc salah satu mode untuk mengistirahatkan komputer disediakan sistem operasi hibernate kondisi komputer keadaan mati tegangan daya program aplikasi dijalankan waktu simpan ram,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate salah satu pilihan berbagai mode pc mode hibernate sistem menyimpan file software dijalankan hard disk ram data mengenai file software berjalan hilang power supply dimatikan mode hibernate pc dinyalakan pc otomatis me load kembali data mengenai software file dijalankan user langsung melanjutkan pekerjaan dilakukan power supply cabut,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate kondisi pc mematikan proses dilakukan hidupkan kembali membutuhkan waktu singkat,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,60,0.6
hibernate keadaan dimana komputer menyimpan data komputer keadaan bekerja memori komputer memasuki kondisi mati proses shut down komputer digunakan pengguna komputer melakukan booting awal mengaktifkan kembali komputer keadaan hibernate data hilang,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate pc keadaan dimana menghentikan kerja komputer data data program program terbuka dijalankan data dipindahkan hard disk kembali mengoperasikan komputer data data dikembalikan ram untuk diolah processor,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate pc proses dimana komputer diletakkan keadaan power mati aplikasi terbuka save diletakkan virtual drive hibernate membuka kembali komputer meneruskan pekerjaan komputer me load kembali terakhir lakukan meng hibernate komputer memiliki keuntungan menghemat power consumption,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate pc fungsi menyimpan data program konfigurasi komputer digunakan disimpan hard disk hibernate secara sederhana fungsi mematikan komputer menghilangkan data program kerjakan pekerjaan lanjutkan masa mendatang hibernate prinsipnya sleep berbeda komponen digunakan proses sleep data disimpan ram hibernate data disimpan hard disk proses hibernate data disimpan hard disk data konfigurasi disimpan menjadi aman berubah akibat kehilangan daya listrik kerugian proses hibernate proses booting sleep diakibatkan daya listrik komputer dimatikan proses boot me load data semetara disimpan harddisk ram kembali,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate pc proses dimana pc olah dimatikan secara total terus berjalan diistirahatkan dilakukan untuk melakukan warm booting user perlu menunggu mengaktifkan komputer kembali proses aplikasi buka tertutup menggunakannya kembali aplikasi langsung muncul,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate salah satu mode diaktifkan komputer dimana kondisi hibernate data data aktif disimpan hard disk internal untuk daya mengalir komputer dijadikan off hibernate berbeda mode sleep dimana mode sleep data disimpan kedalam rom untuk komputer berada kondisi low power mode,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate cara untuk mematikan komputer tetap mempertahankan state kondisi komputer dimatikan sleep standby caranya meng copy data digunakan state kondisi komputer hard disk untuk diakses kali berikutnya komputer dinyalakan berbeda sleep standby komputer hibernate membutuhkan listrik baterai power outlet untuk mempertahankan state komputer standby file state disimpan ram komputer kehilangan listrik data state tersimpan ram hilang ram volatile memory komputer dinyalakan berikutnya cold boot user memulai awal untuk mendapatkan state,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate berbeda sleep dimana sleep kondisi laptop dibuat menjadi keadaan rendah power pc menyimpan data data word excel komputer dibuat keadaan sleep hibernate membuat kondisi komputer sleep kondisi rendah power pc menyimpan data data dikerjakan pc,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,50,0.5
hibernate perintah untuk memberhentikan komputer untuk beroperasi file program ditutup disimpan hardisk komputer,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,70,0.7
hibernate pc salah satu cara mematikan shut down komputer kondisi power hardware dimatikan data tersimpan hard disk menyalakan kembali perlu melakukan cold boot meneruskan data tersimpan harddisk,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate artinya meng off mematikan komputer program aplikasinya data hilang tertutup user menghidupkan kembali komputer user membuka kembali program aplikasi dijalankan menghidupkan kembali komputer,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
hibernate proses untuk mematikan penggunaan daya komputer secara langsung kondisinya memory diprocess ram dipindahkan langsung harddisk penggunaan hibernate menggunakan memakan alokasi memory hard disk lumayan besar keuntungan hibernate menjaga keutuhan file berbeda sleep file nya tersimpan ram daya masuk data hilang mengefisienkan kinerja komputer dinyalakan data kerja harddisk langsung dikembalikan ram menghemat waktu shutdown untuk mematikan komputer,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,100,1
hibernate mematikan komputer secara total tetap menyimpan aplikasi gunakan perbedaannya sleep sleep membutuhkan konsumsi data hibernate untuk menyalakannya kembali perlukan waktu perbedaannya shut down shutdown komputer mati secara total menyalakannya kembali menjadi aplikasi tertutup hibernate program buka tertutup,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
kondisi mematikan daya komputer menyimpan kondisi hibernate state,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,50,0.5
mode komputer untuk menghemat daya listrik,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,30,0.3
hibernate berarti pc melakukan power down untuk menghemat pemakaian daya pengguna kehilangan data proses berlangsung,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,50,0.5
hibernate kondisi dimana pc beroperasi mati operasi jalankan dijeda disimpan pc dinyalakan kembali,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,60,0.6
hibernate memiliki kesamaan sleep daya dimatikan perbedaannya berada dokumen disimpan sleep operasi dihentikan hibernate dokumen disimpan harddisk dinyalakan kembali dokumen digunakan kembali,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,70,0.7
hibernate keadaan komputer mati mesinnya ram rom dll menyala sebagian besar daya dihemat layar keyboard dll mati,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,20,0.2
hibernate salah satu mode power off windows bertujuan untuk mematikan komputer menyimpan state komputer dimatikan untuk dilanjutkan power dinyalakan kembali windows 10 fitur muncul secara default diatur ditampilkan mode power,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,50,0.5
hibernate mirip kondisi sleep kondisis sleep data disimpan ram kondisi hibernate data disimpa drive,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,80,0.8
mengistirahatkan laptop shutdown,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,40,0.4